"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","INDIGENOUS_STATUS","Indigenous status","REGION_DEATHS","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2016","2016",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2010","2010",4,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2011","2011",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2012","2012",2,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2013","2013",1,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2014","2014",1,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2015","2015",3,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2016","2016",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2010","2010",3,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2011","2011",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2012","2012",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2013","2013",4,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2014","2014",4,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2015","2015",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2016","2016",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2010","2010",4,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2011","2011",4,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2012","2012",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2013","2013",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2014","2014",4,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2015","2015",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","3","Queensland","A","Annual","2016","2016",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2010","2010",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2011","2011",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2012","2012",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2013","2013",1,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2014","2014",3,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2015","2015",4,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2016","2016",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2010","2010",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2011","2011",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2012","2012",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2013","2013",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2014","2014",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2015","2015",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","4","South Australia","A","Annual","2016","2016",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2010","2010",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2011","2011",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2012","2012",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2013","2013",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2014","2014",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2015","2015",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2016","2016",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2010","2010",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2011","2011",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2012","2012",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2013","2013",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2014","2014",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2015","2015",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","5","Western Australia","A","Annual","2016","2016",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2010","2010",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2011","2011",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2012","2012",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2013","2013",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2014","2014",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2015","2015",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2016","2016",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2010","2010",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2011","2011",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2012","2012",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2013","2013",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2014","2014",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2015","2015",0,,
"4","Deaths","2","Females","999","not stated","1","Non-Indigenous","7","Northern Territory","A","Annual","2016","2016",0,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2010","2010",12422,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2011","2011",12765,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2012","2012",13309,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2013","2013",13883,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2014","2014",14559,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2015","2015",15386,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2016","2016",16197,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2010","2010",12744,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2011","2011",13062,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2012","2012",13512,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2013","2013",13948,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2014","2014",14411,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2015","2015",15008,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2016","2016",15586,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2010","2010",12341,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2011","2011",12632,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2012","2012",12943,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2013","2013",13344,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2014","2014",13902,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2015","2015",14572,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2016","2016",15195,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2010","2010",12470,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2011","2011",12864,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2012","2012",13209,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2013","2013",13612,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2014","2014",14080,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2015","2015",14693,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2016","2016",15311,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2010","2010",2500,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2011","2011",2591,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2012","2012",2714,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2013","2013",2877,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2014","2014",3025,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2015","2015",3173,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2016","2016",3299,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2010","2010",2548,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2011","2011",2685,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2012","2012",2833,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2013","2013",2918,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2014","2014",3036,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2015","2015",3175,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2016","2016",3335,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2010","2010",6304,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2011","2011",6499,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2012","2012",6802,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2013","2013",7128,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2014","2014",7451,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2015","2015",7823,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2016","2016",8133,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2010","2010",6287,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2011","2011",6492,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2012","2012",6771,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2013","2013",7009,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2014","2014",7225,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2015","2015",7479,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2016","2016",7740,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2010","2010",5469,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2011","2011",5564,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2012","2012",5713,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2013","2013",5872,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2014","2014",6047,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2015","2015",6220,,
"1","Population","1","Males","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2016","2016",6370,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2010","2010",5554,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2011","2011",5646,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2012","2012",5771,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2013","2013",5907,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2014","2014",6037,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2015","2015",6157,,
"1","Population","2","Females","2534","25 - 34","4","Indigenous","7","Northern Territory","A","Annual","2016","2016",6259,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2010","2010",15,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2011","2011",21,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2012","2012",20,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2013","2013",26,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2014","2014",24,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2015","2015",24,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2016","2016",40,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2010","2010",7,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2011","2011",13,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2012","2012",12,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2013","2013",14,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2014","2014",12,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2015","2015",12,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","1","New South Wales","A","Annual","2016","2016",22,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2010","2010",41,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2011","2011",23,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2012","2012",25,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2013","2013",26,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2014","2014",24,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2015","2015",38,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2016","2016",29,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2010","2010",21,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2011","2011",13,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2012","2012",15,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2013","2013",14,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2014","2014",11,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2015","2015",12,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","3","Queensland","A","Annual","2016","2016",15,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2010","2010",1,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2011","2011",10,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2012","2012",6,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2013","2013",9,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2014","2014",1,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2015","2015",3,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2016","2016",7,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2010","2010",3,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2011","2011",2,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2012","2012",4,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2013","2013",4,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2014","2014",11,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2015","2015",3,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","4","South Australia","A","Annual","2016","2016",2,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2010","2010",20,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2011","2011",20,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2012","2012",18,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2013","2013",15,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2014","2014",27,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2015","2015",29,,
"4","Deaths","1","Males","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2016","2016",28,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2010","2010",10,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2011","2011",12,,
"4","Deaths","2","Females","2534","25 - 34","4","Indigenous","5","Western Australia","A","Annual","2012","2012",10,,
