"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","ASGS_2011","State/Territory","PROJ_SERIES","Projection series","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"POP_PROJ","Projected population","2","Females","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2015","2015",3130,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2016","2016",3212,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2011","2011",12700,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2012","2012",12869,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2013","2013",13020,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2014","2014",13153,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2015","2015",13402,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2016","2016",13855,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2011","2011",12113,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2012","2012",12228,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2013","2013",12408,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2014","2014",12553,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2015","2015",12792,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","3","Queensland","2","Series B","A","Annual","2016","2016",13160,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2011","2011",2282,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2012","2012",2299,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2013","2013",2285,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2014","2014",2307,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2015","2015",2344,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2016","2016",2422,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2011","2011",2176,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2012","2012",2235,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2013","2013",2255,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2014","2014",2288,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2015","2015",2306,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","4","South Australia","2","Series B","A","Annual","2016","2016",2345,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2011","2011",5230,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2012","2012",5222,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2013","2013",5239,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2014","2014",5283,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2015","2015",5344,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2016","2016",5553,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2011","2011",5205,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2012","2012",5103,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2013","2013",5067,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2014","2014",5077,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2015","2015",5138,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","5","Western Australia","2","Series B","A","Annual","2016","2016",5241,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2011","2011",1513,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2012","2012",1545,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2013","2013",1538,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2014","2014",1542,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2015","2015",1572,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2016","2016",1654,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2011","2011",1507,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2012","2012",1507,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2013","2013",1496,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2014","2014",1494,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2015","2015",1518,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","6","Tasmania","2","Series B","A","Annual","2016","2016",1561,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2011","2011",3868,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2012","2012",3802,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2013","2013",3769,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2014","2014",3760,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2015","2015",3783,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2016","2016",3850,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2011","2011",3546,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2012","2012",3489,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2013","2013",3465,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2014","2014",3466,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2015","2015",3504,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","7","Northern Territory","2","Series B","A","Annual","2016","2016",3591,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2011","2011",390,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2012","2012",392,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2013","2013",394,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2014","2014",397,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2015","2015",406,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2016","2016",418,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2011","2011",307,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2012","2012",334,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2013","2013",365,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2014","2014",387,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2015","2015",401,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","8","Australian Capital Territory","2","Series B","A","Annual","2016","2016",410,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2011","2011",12779,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2012","2012",12958,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2013","2013",13027,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2014","2014",13194,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2015","2015",13260,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2016","2016",13108,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2011","2011",11979,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2012","2012",12255,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2013","2013",12404,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2014","2014",12654,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2015","2015",12749,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","1","New South Wales","2","Series B","A","Annual","2016","2016",12726,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2011","2011",2788,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2012","2012",2794,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2013","2013",2858,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2014","2014",2884,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2015","2015",2957,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2016","2016",3050,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2011","2011",2658,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2012","2012",2722,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2013","2013",2800,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2014","2014",2873,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2015","2015",2930,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","2","Victoria","2","Series B","A","Annual","2016","2016",2949,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2011","2011",11871,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2012","2012",11966,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2013","2013",12168,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2014","2014",12439,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2015","2015",12620,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2016","2016",12715,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2011","2011",11539,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2012","2012",11692,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2013","2013",11851,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2014","2014",12140,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2015","2015",12200,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","3","Queensland","2","Series B","A","Annual","2016","2016",12191,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2011","2011",2233,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2012","2012",2250,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2013","2013",2305,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2014","2014",2357,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2015","2015",2387,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2016","2016",2342,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2011","2011",2085,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2012","2012",2085,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2013","2013",2133,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2014","2014",2138,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2015","2015",2186,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","4","South Australia","2","Series B","A","Annual","2016","2016",2208,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2011","2011",5107,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2012","2012",5176,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2013","2013",5244,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2014","2014",5325,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2015","2015",5355,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2016","2016",5199,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2011","2011",5267,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2012","2012",5300,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2013","2013",5328,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2014","2014",5350,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2015","2015",5352,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","5","Western Australia","2","Series B","A","Annual","2016","2016",5201,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2011","2011",1430,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2012","2012",1419,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2013","2013",1503,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2014","2014",1560,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2015","2015",1598,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2016","2016",1555,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2011","2011",1290,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2012","2012",1338,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2013","2013",1422,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2014","2014",1496,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2015","2015",1536,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","6","Tasmania","2","Series B","A","Annual","2016","2016",1549,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2011","2011",4056,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2012","2012",4071,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2013","2013",4050,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2014","2014",4002,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2015","2015",3923,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2016","2016",3805,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2011","2011",3781,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2012","2012",3775,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2013","2013",3739,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2014","2014",3688,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2015","2015",3598,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","7","Northern Territory","2","Series B","A","Annual","2016","2016",3462,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2011","2011",327,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2012","2012",328,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2013","2013",331,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2014","2014",331,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2015","2015",341,,
"POP_PROJ","Projected population","1","Males","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2016","2016",351,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2011","2011",323,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2012","2012",312,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2013","2013",293,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2014","2014",280,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2015","2015",287,,
"POP_PROJ","Projected population","2","Females","A59","5 - 9","8","Australian Capital Territory","2","Series B","A","Annual","2016","2016",292,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2011","2011",12784,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2012","2012",12705,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2013","2013",12529,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2014","2014",12429,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2015","2015",12556,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2016","2016",12737,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2011","2011",12100,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2012","2012",11974,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2013","2013",11914,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2014","2014",11721,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2015","2015",11774,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","1","New South Wales","2","Series B","A","Annual","2016","2016",11940,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2011","2011",2759,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2012","2012",2814,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2013","2013",2844,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2014","2014",2870,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2015","2015",2886,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2016","2016",2887,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2011","2011",2756,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2012","2012",2708,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2013","2013",2669,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2014","2014",2596,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2015","2015",2576,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","2","Victoria","2","Series B","A","Annual","2016","2016",2637,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2011","2011",11414,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2012","2012",11498,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2013","2013",11549,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2014","2014",11780,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2015","2015",11897,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2016","2016",11906,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2011","2011",11159,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2012","2012",11161,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2013","2013",11214,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2014","2014",11270,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2015","2015",11520,,
"POP_PROJ","Projected population","2","Females","A10","10 - 14","3","Queensland","2","Series B","A","Annual","2016","2016",11660,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","4","South Australia","2","Series B","A","Annual","2011","2011",2158,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","4","South Australia","2","Series B","A","Annual","2012","2012",2156,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","4","South Australia","2","Series B","A","Annual","2013","2013",2161,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","4","South Australia","2","Series B","A","Annual","2014","2014",2148,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","4","South Australia","2","Series B","A","Annual","2015","2015",2138,,
"POP_PROJ","Projected population","1","Males","A10","10 - 14","4","South Australia","2","Series B","A","Annual","2016","2016",2195,,
